"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-09-28","64","74","48"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-09-29","51","61","44"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-09-30","48","57","42"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-01","53","66","41"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-02","54","66","46"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-03","53","63","42"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-04","62","72","52"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-05","64","75","56"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-06","56","61","51"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-07","60","69","53"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-08","64","66","62"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-09","64","70","61"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-10","65","75","58"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-11","55","64","43"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-12","49","59","38"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-13","51","59","43"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-14","59","67","53"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-15","60","63","58"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-16","52","61","41"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-17","45","54","35"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-18","56","69","47"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-19","58","65","50"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-20","57","69","50"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-21","56","68","47"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-22","51","56","46"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-23","56","64","52"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-24","62","64","60"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-25","62","63","60"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-26","59","62","51"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-27","50","60","45"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-28","51","59","43"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-29","56","60","53"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-30","55","61","48"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-10-31","49","58","41"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-01","45","51","37"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-02","54","58","49"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2017-11-03","58","67","43"
